y,x,imageid,split,classid
0.612037037037037,0.2072916666666666,00a4c8587b50b5e077dca8fce7c72e41-snap.jpg,train,point1
0.524074074074074,0.1296875,00a4c8587b50b5e077dca8fce7c72e41-snap.jpg,train,point2
0.325,0.0395833333333333,00a4c8587b50b5e077dca8fce7c72e41-snap.jpg,train,point3
0.0,0.4770833333333333,00a4c8587b50b5e077dca8fce7c72e41-snap.jpg,train,point4
0.3518518518518518,0.9723958333333332,00a4c8587b50b5e077dca8fce7c72e41-snap.jpg,train,point5
0.512962962962963,0.8963541666666667,00a4c8587b50b5e077dca8fce7c72e41-snap.jpg,train,point6
0.6231481481481481,0.790625,00a4c8587b50b5e077dca8fce7c72e41-snap.jpg,train,point7
0.65,0.5041666666666667,00a4c8587b50b5e077dca8fce7c72e41-snap.jpg,train,point8
0.5787037037037037,0.1958333333333333,00ba99802a2baae8a0360a9e2b6ee333-snap.jpg,test,point1
0.5027777777777778,0.0921875,00ba99802a2baae8a0360a9e2b6ee333-snap.jpg,test,point2
0.3935185185185185,0.0125,00ba99802a2baae8a0360a9e2b6ee333-snap.jpg,test,point3
0.0009259259259259,0.475,00ba99802a2baae8a0360a9e2b6ee333-snap.jpg,test,point4
0.4203703703703704,0.9661458333333334,00ba99802a2baae8a0360a9e2b6ee333-snap.jpg,test,point5
0.5287037037037037,0.8796875,00ba99802a2baae8a0360a9e2b6ee333-snap.jpg,test,point6
0.5953703703703703,0.7791666666666667,00ba99802a2baae8a0360a9e2b6ee333-snap.jpg,test,point7
0.6027777777777777,0.4833333333333333,00ba99802a2baae8a0360a9e2b6ee333-snap.jpg,test,point8
0.7694444444444445,0.2046875,0a00c84744495afbb4de283e51a8b6d2-snap.jpg,train,point1
0.6305555555555555,0.1052083333333333,0a00c84744495afbb4de283e51a8b6d2-snap.jpg,train,point2
0.3981481481481481,0.0328125,0a00c84744495afbb4de283e51a8b6d2-snap.jpg,train,point3
0.0101851851851851,0.5109375,0a00c84744495afbb4de283e51a8b6d2-snap.jpg,train,point4
0.4046296296296296,0.9828125,0a00c84744495afbb4de283e51a8b6d2-snap.jpg,train,point5
0.637962962962963,0.9046875,0a00c84744495afbb4de283e51a8b6d2-snap.jpg,train,point6
0.7694444444444445,0.8083333333333333,0a00c84744495afbb4de283e51a8b6d2-snap.jpg,train,point7
0.85,0.5046875,0a00c84744495afbb4de283e51a8b6d2-snap.jpg,train,point8
0.7222222222222222,0.1963541666666666,0a0f655631f8bf9d2c33c33291695941-snap.jpg,train,point1
0.5740740740740741,0.0859375,0a0f655631f8bf9d2c33c33291695941-snap.jpg,train,point2
0.4,0.0234375,0a0f655631f8bf9d2c33c33291695941-snap.jpg,train,point3
0.0018518518518518,0.4989583333333333,0a0f655631f8bf9d2c33c33291695941-snap.jpg,train,point4
0.374074074074074,0.9703125,0a0f655631f8bf9d2c33c33291695941-snap.jpg,train,point5
0.5574074074074075,0.9109375,0a0f655631f8bf9d2c33c33291695941-snap.jpg,train,point6
0.7222222222222222,0.7973958333333333,0a0f655631f8bf9d2c33c33291695941-snap.jpg,train,point7
0.7861111111111111,0.4989583333333333,0a0f655631f8bf9d2c33c33291695941-snap.jpg,train,point8
